"rank","movie","year_released","american_box_office","international_box_office","total_box_office"
359,"Noah",2014,101200044,251631021,352831065
360,"Basic Instinct",1992,117727224,234972776,352700000
361,"The Angry Birds Movie",2016,107509366,244818521,352327887
362,"The Karate Kid",2010,176591618,175183320,351774938
363,"The Mask",1994,119920129,231700000,351620129
364,"Who Framed Roger Rabbit?",1988,154112492,197387508,351500000
365,"The Great Gatsby",2013,144840419,206200000,351040419
366,"Doctor Seuss' The Lorax",2012,214030500,136946253,350976753
367,"Hannibal",2001,165092266,185008014,350100280
368,"Deep Impact",1998,140464664,209000000,349464664
369,"Alvin and the Chipmunks: Chipwrecked",2011,133107389,215981134,349088523
370,"The Legend of Tarzan",2016,126643061,222258964,348902025
371,"I, Robot",2004,144801023,203828562,348629585
372,"The Smurfs 2",2013,71017784,277529739,348547523
373,"The Maze Runner",2014,102427862,245891999,348319861
374,"Rush Hour 2",2001,226164286,121261546,347425832
375,"Peter Rabbit",2018,115234093,231902384,347136477
376,"Pocahontas",1995,141579773,205520227,347100000
377,"Murder on the Orient Express",2017,102826543,243096187,345922730
378,"How the Grinch Stole Christmas",2000,260044825,85096578,345141403
379,"xXx: Return of Xander Cage",2017,44898413,300134946,345033359
380,"Mary Poppins Returns",2018,171958438,172327497,344285935
381,"Trolls",2016,153707064,190365169,344072233
382,"Over the Hedge",2006,155019340,188377907,343397247
383,"Now You See Me",2013,117723989,225045211,342769200
384,"Wanted",2008,134508551,207907909,342416460
385,"Close Encounters of the Third Kind",1977,169100479,171700000,340800479
386,"Enchanted",2007,127706877,212677264,340384141
387,"Tomorrow Never Dies",1997,125304276,214200000,339504276
388,"Batman Forever",1995,184031112,152498032,336529144
389,"Prince of Persia: Sands of Time",2010,90759676,245600000,336359676
390,"The Rock",1996,134069511,202000000,336069511
391,"Apollo 13",1995,173772767,162029504,335802271
392,"Star Trek Beyond",2016,158848340,176953893,335802233
393,"Never Say Die",2017,0,334536622,334536622
394,"A Quiet Place",2018,188024361,146497933,334522294
395,"The Great Wall",2016,45157105,289329747,334486852
396,"The Good Dinosaur",2015,123087120,210683917,333771037
397,"Fantastic Four",2005,154696080,178436670,333132750
398,"Indiana Jones and the Temple of Doom",1984,179880271,153200000,333080271
399,"Back to the Future Part II",1989,118450002,213549998,332000000
400,"22 Jump Street",2014,191719337,139614539,331333876
401,"National Treasure",2004,173005002,158318408,331323410
402,"Black Swan",2010,106954678,224312032,331266710
403,"300: Rise of an Empire",2014,106580051,224200000,330780051
404,"Meet the Parents",2000,166225040,164200000,330425040
405,"The Curious Case of Benjamin Button",2008,127509326,202122632,329631958
406,"The Perfect Storm",2000,182618434,146093000,328711434
407,"Now You See Me 2",2016,65075540,263249467,328325007
408,"Crocodile Dundee",1986,174803506,153400000,328203506
409,"Se7en",1995,100125643,228000000,328125643
410,"Bolt",2008,114053579,213961450,328015029
411,"Taken 3",2015,89256424,238400000,327656424
412,"Feng Kuang De Wai Xing Ren",2019,0,326150303,326150303
413,"The Devil Wears Prada",2006,124740460,201332695,326073155
414,"The Hunchback of Notre Dame",1996,100138851,225361149,325500000
415,"Shazam!",2019,121341951,201500000,322841951
416,"Robin Hood",2010,105487148,216971858,322459006
417,"Schindler’s List",1993,96898818,225298314,322197132
418,"Megamind",2010,148415853,173471355,321887208
419,"Fatal Attraction",1987,156645693,163454307,320100000
420,"The Last Airbender",2010,131772187,187941694,319713881
421,"Lethal Weapon 3",1992,144731527,174968473,319700000
422,"Journey 2: The Mysterious Island",2012,103860290,214285872,318146162
423,"The Conjuring",2013,137400141,180600000,318000141
424,"A Beautiful Mind",2001,170708996,146959062,317668058
425,"Inglourious Basterds",2009,120774594,196140670,316915264
426,"Beverly Hills Cop",1984,234760478,81539522,316300000
427,"Disney’s A Christmas Carol",2009,137855863,177853834,315709697
428,"Green Book",2018,85017316,230350980,315368296
429,"Air Force One",1997,172956409,142311944,315268353
430,"The Proposal",2009,163958031,150751686,314709717
431,"As Good as it Gets",1997,148478011,165633912,314111923
432,"Resident Evil: The Final Chapter",2016,26844692,287256498,314101190
433,"Battleship",2012,65233400,248244317,313477717
434,"Austin Powers: The Spy Who Shagged Me",1999,206040085,106343402,312383487
435,"The Expendables 2",2012,85028192,226951064,311979256
436,"Ocean's Thirteen",2007,117144465,194600000,311744465
437,"The Polar Express",2004,187224605,124140582,311365187
438,"The Conjuring 2: The Enfield Poltergeist",2016,102470008,208792094,311262102
439,"The SpongeBob Movie: Sponge Out of Water",2015,162994032,148019149,311013181
440,"The Bourne Supremacy",2004,176087450,134913674,311001124
441,"The Lego Batman Movie",2017,175750384,134909634,310660018
442,"Little Fockers",2010,148438600,162211974,310650574
443,"Maze Runner: The Scorch Trials",2015,81697192,228868970,310566162
444,"Runaway Bride",1999,152257509,157880669,310138178
445,"Chicken Little",2005,135386665,174657158,310043823
446,"Ransom",1996,136492681,172207319,308700000
447,"Dumbo",2019,101254910,206600000,307854910
